Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3.990000,4.570000,3.860000,4.490000,4.490000,6124200
2020-01-03,4.470000,4.600000,4.210000,4.440000,4.440000,1709000
2020-01-06,4.410000,4.720000,4.360000,4.580000,4.580000,2111700
2020-01-07,4.600000,4.660000,4.530000,4.570000,4.570000,1024000
2020-01-08,4.560000,4.600000,4.260000,4.280000,4.280000,1790100
2020-01-09,4.250000,4.260000,3.940000,4.010000,4.010000,2095000
2020-01-10,4.000000,4.050000,3.910000,3.930000,3.930000,1682100
2020-01-13,3.970000,4.000000,3.650000,3.950000,3.950000,1766900
2020-01-14,3.910000,4.050000,3.770000,3.990000,3.990000,924700
2020-01-15,4.470000,4.600000,4.260000,4.380000,4.380000,5107000
2020-01-16,4.500000,4.850000,4.490000,4.780000,4.780000,4380200
2020-01-17,4.880000,5.810000,4.760000,5.740000,5.740000,9559900
2020-01-21,9.150000,9.990000,7.320000,9.820000,9.820000,55305200
2020-01-22,8.380000,8.500000,6.800000,7.090000,7.090000,16921200
2020-01-23,7.880000,8.140000,7.240000,7.660000,7.660000,16709400
2020-01-24,7.990000,8.120000,7.510000,7.800000,7.800000,10553600
2020-01-27,9.230000,9.320000,8.310000,8.500000,8.500000,16742100
2020-01-28,8.010000,8.170000,7.010000,7.170000,7.170000,8664300
2020-01-29,7.220000,7.340000,6.260000,6.840000,6.840000,5591100
2020-01-30,7.030000,7.100000,6.730000,7.000000,7.000000,3738800
2020-01-31,7.210000,7.790000,6.790000,7.620000,7.620000,6765900
2020-02-03,7.260000,7.430000,6.750000,6.810000,6.810000,4206800
2020-02-04,6.630000,7.070000,6.550000,7.010000,7.010000,4168300
2020-02-05,6.900000,7.010000,6.590000,6.970000,6.970000,2158500
2020-02-06,6.890000,6.980000,6.710000,6.840000,6.840000,1457600
2020-02-07,6.760000,6.890000,6.260000,6.310000,6.310000,2607200
2020-02-10,6.430000,7.390000,6.430000,7.020000,7.020000,6183600
2020-02-11,6.930000,7.350000,6.700000,7.210000,7.210000,2429000
2020-02-12,7.200000,7.690000,7.110000,7.310000,7.310000,2715000
2020-02-13,7.600000,8.050000,7.510000,7.790000,7.790000,4408600
2020-02-14,8.050000,8.080000,7.320000,7.680000,7.680000,2728000
2020-02-18,7.690000,8.180000,7.560000,7.990000,7.990000,2577100
2020-02-19,7.860000,8.030000,7.630000,7.950000,7.950000,2132000
2020-02-20,7.880000,8.060000,7.760000,7.940000,7.940000,2355000
2020-02-21,7.870000,7.940000,7.630000,7.720000,7.720000,1804300
2020-02-24,8.310000,8.500000,7.930000,8.160000,8.160000,5044200
2020-02-25,8.210000,8.300000,7.700000,7.950000,7.950000,2947800
2020-02-26,8.650000,11.210000,8.320000,9.220000,9.220000,24614800
2020-02-27,11.100000,11.880000,9.800000,11.800000,11.800000,27547100
2020-02-28,14.940000,17.709999,12.720000,16.000000,16.000000,36373200
2020-03-02,13.960000,14.000000,11.490000,12.020000,12.020000,14261700
2020-03-03,10.560000,11.110000,9.920000,10.780000,10.780000,9957300
2020-03-04,10.120000,12.350000,10.100000,11.320000,11.320000,10977400
2020-03-05,11.850000,13.400000,11.710000,12.870000,12.870000,14057100
2020-03-06,13.830000,14.250000,11.580000,12.480000,12.480000,13250800
2020-03-09,12.510000,13.000000,9.600000,10.020000,10.020000,8328800
2020-03-10,12.470000,12.480000,10.350000,10.650000,10.650000,12365400
2020-03-11,10.510000,10.800000,9.320000,10.510000,10.510000,9052100
2020-03-12,9.510000,10.470000,9.150000,9.290000,9.290000,5488400
2020-03-13,9.500000,9.730000,7.520000,8.410000,8.410000,6115400
2020-03-16,7.770000,8.140000,6.770000,6.910000,6.910000,4779400
2020-03-17,8.000000,10.190000,7.850000,9.500000,9.500000,11624000
2020-03-18,8.850000,11.480000,8.800000,10.650000,10.650000,11034100
2020-03-19,10.980000,13.200000,10.800000,11.580000,11.580000,11901400
2020-03-20,11.800000,11.900000,9.560000,10.350000,10.350000,5726000
2020-03-23,10.710000,11.170000,10.030000,10.760000,10.760000,3064600
2020-03-24,14.350000,14.930000,12.180000,12.770000,12.770000,18556500
2020-03-25,13.010000,13.130000,11.400000,11.750000,11.750000,6975400
